,stopword
0,탄산수
1,펩라임향시
2,무라벨
3,하이트진로
4,일화
5,칼슘
6,광동제약
7,웅진
8,음료
9,동아오츠카
10,개
11,롯데칠성음료
12,업소용
13,유기농
14,종합세트
15,캔
16,병
17,해태음료
18,하이트진로
19,롯데
20,뚱캔
21,상세 설명 참조
22,웅진식품
23,칠성
24,브이톡
25,[코카콜라]
26,해태음료
27,캔캔
28,코카콜라본사직영
29,총캔
30,각개총개
31,업소용콜라환타탄산음료과즙탄산미니소캔
32,안전박스포장
33,안심포장
34,펩시콜라제로캔
35,칠성사이다제로캔총캔
36,이온음료
37,개입
38,경방신약
39,새콤달콤
40,맛있는
50,카페베네
51,암웨이
52,은진유통동아오츠카
53,각캔총캔
54,음료묶음가능개수
55,단일
56,수량
57,냉장스위트카페농축음료
58,캔업소용
59,슈거
60,박스
61,탄산음료
62,탄산
63,음료
64,혼합음료
65,치어팩
66,안전포장
67,박스총개
68,국내시판용
69,뚱캔캔
70,코코사은품세트
71,캔음료
72,오렌지망고개입
73,팩유통기한
74,총개
75,박스낱개
76,개입박스총병
77,캔칠성사이다
78,음료수
79,갈증해소
80,캔캔박스
81,개박스
82,안전포장박스
83,캔안전포장
84,탄산음료수
85,탄산수탄산음료
86,캔포장
89,캔박스
90,도매
91,뚱캔음료
92,총병
93,사랑해요
94,본사직영
95,세트
96,종세트
97,일반용



